wut,x2,hdbscan,0,UMAP_local,120 x 2,120 x 2,"cf: [[ 0  0  0  0]
 [37 12  1  0]
 [ 0 40  0  0]
 [ 0  0 30  0]] ",nca: nan ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.1 
wut,x2,kmodes,0,UMAP_local,120 x 2,120 x 2,"cf: [[50  0  0]
 [39  1  0]
 [29  0  1]] ",nca: 0.029166666666666674 ,r: 0.3558823529411765 ,ar: 0.005618008150835888 ,fm: 0.5779640621939874 ,mi: 0.020813392509490616 ,nmi: 0.03546100746057263 ,ami: 0.004770394018558165 ,a: 0.43333333333333335 
wut,x2,birch,0,UMAP_local,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,minibatchkmeans,0,UMAP_local,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,latentdirichletallocation,0,UMAP_local,120 x 2,120 x 2,"cf: [[ 0 13 37]
 [ 0 40  0]
 [ 0 30  0]] ",nca: 0.37 ,r: 0.6371148459383753 ,ar: 0.30497934820422923 ,fm: 0.6217212018900672 ,mi: 0.37898691718600463 ,nmi: 0.447098597123281 ,ami: 0.4414835672885385 ,a: 0.3333333333333333 
wut,x2,spectralcoclustering,0,UMAP_local,120 x 2,120 x 2,"cf: [[13 37  0]
 [33  0  7]
 [10  0 20]] ",nca: 0.6158333333333332 ,r: 0.7281512605042016 ,ar: 0.40265133131210556 ,fm: 0.6117346450209318 ,mi: 0.5015868983711012 ,nmi: 0.4706154678487828 ,ami: 0.46196955092586783 ,a: 0.275 
wut,x2,bayesiangaussianmixture,0,UMAP_local,120 x 2,120 x 2,"cf: [[ 1 37 12]
 [ 0  0 40]
 [30  0  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.008333333333333333 
wut,x2,genie,0,UMAP_global,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,kmeans,0,UMAP_global,120 x 2,120 x 2,"cf: [[37  1 12]
 [ 0  0 40]
 [ 0 30  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.30833333333333335 
wut,x2,agglomerative,0,UMAP_global,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
